デフォルト表示,連番ID,ID,レア度,Lv,二つ名,サポート名,得意トレ,グループ,特殊固有,友情ボナ,やる気効果,スピボナ,スタボナ,パワボナ,根性ボナ,賢さボナ,トレ効果,初期スピ,初期スタ,初期パワ,初期根性,初期賢さ,初期絆,レースボナ,ファンボナ,ヒントLv,ヒント率,得意率,イベ回復,イベ効果,失敗率,体力消費,Spボナ,友情回復,スキル個数,固有1,固有2,固有必要絆,固有1効果量,固有2効果量
0,1,やれやれ、お帰り25,SR,25,やれやれ、お帰り,フジキセキ,賢さ,,,15,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,30,20,0,0,0,0,0,3,6,Spボナ,初期賢さ,,1,20
0,1,やれやれ、お帰り30,SR,30,やれやれ、お帰り,フジキセキ,賢さ,,,16,42,0,0,0,0,0,0,0,0,0,0,0,21,1,5,2,32,25,0,0,0,0,0,3,6,Spボナ,初期賢さ,,1,20
0,1,やれやれ、お帰り35,SR,35,やれやれ、お帰り,フジキセキ,賢さ,,,18,45,0,0,0,0,0,0,0,0,0,0,0,22,3,7,2,35,30,0,0,0,0,0,3,6,Spボナ,初期賢さ,,1,20
0,1,やれやれ、お帰り40,SR,40,やれやれ、お帰り,フジキセキ,賢さ,,,20,47,0,0,0,0,0,0,0,0,0,0,0,23,5,10,2,37,35,0,0,0,0,0,3,6,Spボナ,初期賢さ,,1,20
0,1,やれやれ、お帰り45,SR,45,やれやれ、お帰り,フジキセキ,賢さ,,,20,50,0,0,0,0,1,0,0,0,0,0,0,25,5,10,2,40,35,0,0,0,0,0,4,6,Spボナ,初期賢さ,,1,20
1,2,努力は裏切らない！25,SR,25,努力は裏切らない！,ダイワスカーレット,賢さ,,,25,30,0,0,0,0,0,0,0,0,0,0,0,20,5,10,0,0,35,0,0,0,0,0,3,7,やる気効果,初期絆,,15,15
1,2,努力は裏切らない！30,SR,30,努力は裏切らない！,ダイワスカーレット,賢さ,,,26,32,0,0,0,0,0,0,0,0,0,0,0,21,5,11,1,20,38,0,0,0,0,0,3,7,やる気効果,初期絆,,15,15
1,2,努力は裏切らない！35,SR,35,努力は裏切らない！,ダイワスカーレット,賢さ,,,27,35,0,0,0,0,0,0,0,0,0,0,0,22,5,12,1,25,42,0,0,0,0,0,3,7,やる気効果,初期絆,,15,15
1,2,努力は裏切らない！40,SR,40,努力は裏切らない！,ダイワスカーレット,賢さ,,,28,37,0,0,0,0,0,0,0,0,0,0,0,23,5,13,2,30,46,0,0,0,0,0,3,7,やる気効果,初期絆,,15,15
1,2,努力は裏切らない！45,SR,45,努力は裏切らない！,ダイワスカーレット,賢さ,,,30,40,0,0,0,0,1,0,0,0,0,0,0,25,5,15,2,30,50,0,0,0,0,0,4,7,やる気効果,初期絆,,15,15
0,3,テッペンに立て！25,SR,25,テッペンに立て！,ヒシアマゾン,パワー,,,25,30,0,0,0,0,0,0,0,0,0,0,0,20,5,10,0,0,35,0,0,0,0,0,0,6,友情ボナ,レースボナ,,10,5
0,3,テッペンに立て！30,SR,30,テッペンに立て！,ヒシアマゾン,パワー,,,26,32,0,0,0,0,0,0,0,0,10,0,0,21,5,11,0,0,38,0,0,0,0,0,0,6,友情ボナ,レースボナ,,10,5
0,3,テッペンに立て！35,SR,35,テッペンに立て！,ヒシアマゾン,パワー,,,27,35,0,0,0,0,0,0,0,0,15,0,0,22,5,12,0,0,42,0,0,0,0,0,0,6,友情ボナ,レースボナ,,10,5
0,3,テッペンに立て！40,SR,40,テッペンに立て！,ヒシアマゾン,パワー,,,28,37,0,0,0,0,0,0,0,0,20,0,0,23,5,13,0,0,46,0,0,0,0,0,0,6,友情ボナ,レースボナ,,10,5
